file_name,y,yhat
Amory_Thomas_The-Life-of-John-Buncle_1756,0.140018459,0.47139132
Beerbohm_Max_Zuleika-Dobson_1911,0.616047334,0.4527762
Bennett_Arnold_Anna-and-the-Five-Towns_1902,0.616047334,0.43287256
Bennett_Arnold_Clayhanger_1910,0.724273867,0.6008919
Bennett_Arnold_Hilda-Lessways_1911,0.616047334,0.49459133
Bennett_Arnold_The-Old-Wives-Tale_1908,0.891913292,0.545766
Brunton_Mary_Discipline_1814,0.210455878,0.4527762
Brunton_Mary_Self-Control_1811,0.210455878,0.49129495
Buchan_John_John-Burnet-of-Barns_1897,0.140018459,0.4527762
Bulwer-Lytton_Edward_Eugene-Aram_1832,0.140018459,0.49129495
Bulwer-Lytton_Edward_Paul-Clifford_1830,0.338393179,0.5699514
Bulwer-Lytton_Edward_The-Last-Days-of-Pompeii_1834,0.210455878,0.43287256
Butler_Samuel_Erewhon_1872,0.544072707,0.43287256
Butler_Samuel_The-Way-of-all-Flesh_1903,0.544072707,0.43287256
Chesterton_G-K_The-Man-Who-Was-Thursday_1908,0.504497327,0.43287256
Childers_Erskine_The-Riddle-of-the-Sand_1903,0.238046418,0.43287256
Conrad_Joseph_Almayers-Folly_1895,0.577872237,0.43287256
Conrad_Joseph_Chance_1912,0.741822487,0.61657345
Conrad_Joseph_Heart-of-Darkness_1899,0.871573043,0.5368669
Conrad_Joseph_Lord-Jim_1899,0.913638738,0.5753857
Conrad_Joseph_Nostromo_1904,0.865987692,0.4527762
Conrad_Joseph_The-Nigger-of-the-Narcissus_1897,0.577872237,0.4527762
Conrad_Joseph_The-Secret-Agent_1907,0.945414387,0.49459133
Conrad_Joseph_The-Secret-Sharer_1910,0.295802894,0.4527762
Conrad_Joseph_Typhoon_1903,0.724273867,0.4527762
Conrad_Joseph_Under-Western-Eyes_1911,0.913638738,0.56144756
Craik_S-R_John-Halifax_1856,0.383441256,0.53182864
Defoe_Daniel_Journal-of-the-Plague-Year_1722,0.865987692,0.43287256
Defoe_Daniel_Moll-Flanders_1722,0.865987692,0.49330986
Defoe_Daniel_Robinson-Crusoe_1719,0.628495891,0.43287256
Defoe_Daniel_The-Fortunate-Mistress_1724,0.455390883,0.49330986
Edwards_Amelia_The-Phantom-Coach_1864,0.140018459,0.40378416
Fenwick_Eliza_Secresy_1795,0.140018459,0.4527762
Fielding_Sarah_David-Simple_1744,0.140018459,0.43287256
Fielding_Sarah_The-Countess-of-Dellwyn_1759,0.140018459,0.43287256
Hughes_Thomas_Tom-Browns-Schooldays_1857,0.865987692,0.43287256
Kingsley_Charles_Alton-Locke_1850,0.616047334,0.49129495
Kingsley_Charles_The-Water-Babies_1863,0.771045191,0.43287256
Kingsley_Charles_Westward-Ho_1855,0.616047334,0.43287256
Lamb_Caroline_Glenarvon_1816,0.140018459,0.43287256
Le-Queux_William_The-Invasion-of-1910_1906,0.383441256,0.47139132
Lever_Charles_Confessions-of-Harry-Lorrequer_1837,0.140018459,0.47340623
Mackenzie_Compton_Sinister-Street_1913,0.238046418,0.5314326
Maturin_Charles-Robert_Melmoth-the-Wanderer_1820,0.742091708,0.43583715
Newman_John-Henry_Loss-and-Gain_1848,0.724273867,0.43287256
Opie_Amelia_Adeline-Mowbray_1804,0.210455878,0.43287256
Opie_Amelia_Father-and-Daughter_1801,0.346665952,0.43287256
Pirkis_Catherine-Louisa_The-Experiences-of-Loveday-Brooke_1893,0.140018459,0.43287256
Potter_Beatrix_Peter-Rabbit_1901,0.295802894,0.6406256
Sheridan_Frances_Miss-Sidney-Bidulph_1761,0.174247593,0.4527762
Sheridan_Frances_The-History-of-Nourjahad_1767,0.295802894,0.43287256
Smollett_Tobias_Ferdinand-Count-Fathom_1753,0.383441256,0.53182864
Smollett_Tobias_Humphry-Clinker_1771,0.51773127,0.43287256
Smollett_Tobias_Launcelot-Greaves_1760,0.383441256,0.43287256
Smollett_Tobias_Peregrine-Pickle_1751,0.383441256,0.62813365
Smollett_Tobias_Roderick-Random_1748,0.238046418,0.5520458
Thackerey_William-Makepeace_Pendennis_1848,0.616047334,0.49129495
Thackerey_William-Makepeace_Vanity-Fair_1847,0.965934469,0.4527762
Tressell_Robert_The-Ragged-Trousered-Philanthropists_1914,0.526896736,0.43287256
Behn_Aphra_Oroonoko_1688,0.747964425,0.41640103
Brown_George-Douglas_The-House-with-the-Green-Shutters_1901,0.238046418,0.44021234
Burney_Frances_Camilla_1796,0.358757305,0.44021234
Burney_Frances_Cecilia_1782,0.21939172,0.44021234
Burney_Frances_Evelina_1778,0.387285201,0.44021234
Burney_Frances_The-Wanderer_1814,0.140018459,0.46400172
Caird_Mona_The-Daughters-of-Danaus_1894,0.140018459,0.44021234
Disraeli_Benjamin_Coningsby_1843,0.616047334,0.46400172
Disraeli_Benjamin_Sybil_1845,0.945414387,0.44021234
Disraeli_Benjamin_Tancred_1847,0.616047334,0.46400172
Disraeli_Benjamin_Vivian-Grey_1826,0.577872237,0.46400172
Equiano_Olaudah_Life-of-Equiano_1789,0.754826396,0.46400172
Forrester_Andrew_The-Female-Detective_1864,0.140018459,0.46400172
Galt_John_Annals-of-the-Parish_1821,0.303809445,0.41640103
Galt_John_Ringan-Gillhaize_1822,0.140018459,0.44021234
Galt_John_The-Entail_1822,0.140018459,0.44021234
Galt_John_The-Provost_1822,0.210455878,0.41640103
Godwin_William_Caleb-Williams_1794,0.875629215,0.61678827
Godwin_William_Fleetwood_1805,0.577872237,0.6601925
Godwin_William_St-Leon_1799,0.577872237,0.55209386
Kickham_Charles_Knockagow_1879,0.140018459,0.44021234
Lamb_Mary_As-You-Like-It_1807,0.661437438,0.41640103
Lamb_Mary_The-Tempest_1807,0.661437438,0.5034939
Lawless_Emily_Grania_1892,0.140018459,0.44021234
Lewis_Matthew-Gregory_The-Monk_1796,0.803943218,0.46400172
MacDonald_George_Adela-Cathcart_1864,0.295802894,0.62178385
MacDonald_George_Alec-Forbes-of-Howglen_1865,0.295802894,0.62676394
MacDonald_George_David-Elginbrod_1863,0.295802894,0.62178385
MacDonald_George_Lilith_1895,0.295802894,0.60586536
MacDonald_George_Phantastes_1858,0.446295898,0.5483109
MacDonald_George_Robert-Falconer_1868,0.295802894,0.65055335
MacDonald_George_Sir-Gibbie_1879,0.295802894,0.61678827
MacDonald_George_The-Princess-and-the-Goblin_1872,0.616047334,0.46400172
Mackenzie_Henry_The-Man-of-Feeling_1771,0.841634908,0.41640103
Moore_George_A-Drama-in-Muslin_1886,0.295802894,0.44021234
Moore_George_A-Mummers-Wife_1885,0.295802894,0.44021234
Moore_George_Confessions-of-a-Young-Man_1888,0.295802894,0.41640103
Moore_George_Esther-Waters_1894,0.590736248,0.46400172
Moore_George_The-Lake_1905,0.295802894,0.44021234
Moore_George_The-Untilled-Field_1903,0.295802894,0.46400172
Munro_Neil_The-New-Road_1914,0.140018459,0.44021234
Nesbit_Edith_The-Railway-Children_1906,0.140018459,0.44021234
Nesbit_Edith_The-Story-of-the-Amulet_1906,0.140018459,0.44021234
Nesbit_Edith_The-Story-of-the-Treasure-Seekers_1899,0.140018459,0.67016816
Nesbit_Edith_The-Wouldbegoods_1901,0.140018459,0.67016816
Stevenson-Grift_Robert-Louis-Fanny-van-de_The-Dynamiter_1885,0.140018459,0.44021234
Stevenson-Osbourne_Robert-Louis-Lloyde_The-Ebb-Tide_1894,0.140018459,0.44021234
Stevenson_Robert-Louis_Dr-Jekyll-and-Mr-Hyde_1886,0.964704756,0.41640103
Stevenson_Robert-Louis_Kidnapped_1886,0.741822487,0.44021234
Stevenson_Robert-Louis_The-Beach-of-Falesa_1892,0.295802894,0.47612247
Stevenson_Robert-Louis_The-Body-Snatcher_1884,0.295802894,0.41640103
Stevenson_Robert-Louis_The-Master-of-Ballantrae_1889,0.446295898,0.44021234
Stevenson_Robert-Louis_The-Silverado-Squatters_1884,0.295802894,0.41640103
Stevenson_Robert-Louis_The-Weir-of-Hermiston_1896,0.295802894,0.41640103
Stevenson_Robert-Louis_Treasure-Island_1883,0.819310567,0.44021234
Swift_Jonathan_A-Modest-Proposal_1729,0.607321825,0.5034939
Swift_Jonathan_A-Tale-of-Tub_1704,0.855231707,0.41640103
Swift_Jonathan_Battle-of-the-Books_1704,0.616047334,0.41640103
Swift_Jonathan_Gullivers-Travels_1726,0.757817352,0.44021234
Walpole_Horace_Otranto_1764,0.910695763,0.44021234
Bennett_Anna-Maria_Agnes-De-Courci_1789,0.140018459,0.49411306
Birmingham_George_The-Red-Hand-of-Ulster_1912,0.140018459,0.49411306
Braddon_Mary_Aurora-Floyd_1863,0.254696506,0.49411306
Braddon_Mary_Lady-Audleys-Secret_1862,0.468904937,0.49411306
Braddon_Mary_The-Doctors-Wife_1863,0.254696506,0.49411306
Carleton_William_Fardorougha-the-Miser_1839,0.140018459,0.5281376
Carleton_William_Going-to-Maynooth_1830,0.140018459,0.49411306
Carleton_William_Larry-M-Farlands-Wake_1830,0.140018459,0.49411306
Carleton_William_Ned-M-Keown_1830,0.140018459,0.48230052
Carleton_William_Phil-Purcel_1830,0.140018459,0.48230052
Carleton_William_Shane-Fadhs-Wedding_1830,0.140018459,0.49411306
Carleton_William_The-Battle-of-the-Factions_1830,0.140018459,0.49411306
Carleton_William_The-Black-Prophet_1847,0.140018459,0.5335639
Carleton_William_The-Donagh_1830,0.140018459,0.49411306
Carleton_William_The-Emigrants-of-Ahadarra_1847,0.140018459,0.49411306
Carleton_William_The-Geography-of-an-Irish-Oath_1830,0.140018459,0.49411306
Carleton_William_The-Hedge-School_1830,0.140018459,0.49411306
Carleton_William_The-Lianhan-Shee_1830,0.140018459,0.49411306
Carleton_William_The-Lough-Derg-Pilgrim_1830,0.140018459,0.49411306
Carleton_William_The-Midnight-Mass_1830,0.140018459,0.49411306
Carleton_William_The-Party-Fight-and-Funeral_1830,0.140018459,0.49411306
Carleton_William_The-Poor-Scholar_1830,0.140018459,0.49411306
Carleton_William_The-Station_1830,0.140018459,0.49411306
Carleton_William_The-Three-Tasks_1830,0.140018459,0.48785323
Carleton_William_Valentine-M-Clutchy_1845,0.140018459,0.49411306
Carroll_Lewis_Alice-in-Wonderland_1865,0.891913292,0.49411306
Carroll_Lewis_Through-the-Looking-Glass_1871,0.724273867,0.49411306
Cholmondeley_Mary_Red-Pottage_1899,0.140018459,0.49411306
Collins_Wilkie_Armadale_1864,0.468554769,0.52334136
Collins_Wilkie_Man-and-Wife_1870,0.468554769,0.52334136
Collins_Wilkie_No-Name_1862,0.846470069,0.5335639
Collins_Wilkie_The-Law-and-the-Lady_1875,0.468554769,0.5335639
Collins_Wilkie_The-Moonstone_1868,0.819310567,0.5077492
Collins_Wilkie_The-Woman-in-White_1859,0.965934469,0.5335639
Crockett_S-R_Cleg-Kelly_1896,0.140018459,0.49411306
Fielding_Henry_Amelia_1752,0.616047334,0.5335639
Fielding_Henry_Jonathan-Wilde_1742,0.616047334,0.49411306
Fielding_Henry_Joseph-Andrews_1742,0.607321825,0.5281376
Fielding_Henry_Shamela_1741,0.446295898,0.49411306
Fielding_Henry_Tom-Jones_1749,0.754826396,0.5335639
Grahame_Kenneth_The-Wind-in-the-Willows_1908,0.590736248,0.49411306
Hays_Mary_Memoirs-of-Emma-Courtney_1796,0.358757305,0.49411306
Marryat_Frederick_The-Kings-Own_1830,0.346665952,0.49411306
Mitford_Mary-Russell_Our-Village_1824,0.303809445,0.49411306
Porter_Jane_Thaddeus-of-Warsaw_1803,0.210455878,0.49411306
Porter_Jane_The-Scottish-Chiefs_1810,0.210455878,0.49411306
Radcliffe_Ann_A-Sicilian-Romance_1790,0.681225106,0.49411306
Radcliffe_Ann_The-Italian_1797,0.495313569,0.49411306
Radcliffe_Ann_The-Romance-of-the-Forest_1791,0.803943218,0.49411306
Radcliffe_Ann_Udolpho_1794,0.771293334,0.49411306
Shelley_Mary_Frankenstein_1818,0.811551736,0.49411306
Shelley_Mary_Lodore_1835,0.383441256,0.49411306
Shelley_Mary_Mathilda_1820,0.346665952,0.5236695
Shelley_Mary_Perkin-Warbeck_1830,0.346665952,0.49411306
Shelley_Mary_The-Last-Man_1826,0.771293334,0.49411306
Shelley_Mary_The-Mortal-Immortal_1834,0.383441256,0.48230052
Shelley_Mary_Valperga_1823,0.625028391,0.49411306
Sterne_Laurence_A-Sentimental-Journey_1768,0.568886296,0.49411306
Sterne_Laurence_Tristram-Shandy_1759,0.841634908,0.49411306
Surtees_Robert_Jorrocks-Jaunts-and-Jollities_1831,0.616047334,0.49411306
Thurston_Katherine_John-Chilcote_1904,0.140018459,0.49411306
Wollstonecraft_Mary_Mary_1788,0.295802894,0.49411306
Ainsworth_William-Harrison_Rookwood_1834,0.140018459,0.53596556
Broughton_Rhoda_Cometh-Up-as-a-Flower_1867,0.140018459,0.45317075
Burnett_Frances-Hodgson_The-Secret-Garden_1911,0.846470069,0.46163872
Corelli_Marie_The-Sorrows-of-Satan_1895,0.346665952,0.4700193
Doyle_Arthur-Conan_A-Case-of-Identity_1891,0.398637828,0.41778678
Doyle_Arthur-Conan_A-Scandal-in-Bohemia_1891,0.398637828,0.52800363
Doyle_Arthur-Conan_A-Study-in-Scarlet_1887,0.628495891,0.6214034
Doyle_Arthur-Conan_Micah-Clarke_1889,0.295802894,0.47974893
Doyle_Arthur-Conan_Sir-Nigel_1906,0.295802894,0.5286793
Doyle_Arthur-Conan_The-Adventure-of-Black-Peter_1905,0.724273867,0.5010469
Doyle_Arthur-Conan_The-Adventure-of-Charles-Augustus-Milverton_1905,0.724273867,0.43855545
Doyle_Arthur-Conan_The-Adventure-of-Solitary-Cyclist_1905,0.724273867,0.49482924
Doyle_Arthur-Conan_The-Adventure-of-the-Abbey-Grange_1905,0.724273867,0.47166952
Doyle_Arthur-Conan_The-Adventure-of-the-Beryl-Coronet_1891,0.398637828,0.47918054
Doyle_Arthur-Conan_The-Adventure-of-the-Blue-Carbuncle_1891,0.398637828,0.5211588
Doyle_Arthur-Conan_The-Adventure-of-the-Copper-Beeches_1891,0.295802894,0.4904853
Doyle_Arthur-Conan_The-Adventure-of-the-Dancing-Men_1905,0.724273867,0.4907094
Doyle_Arthur-Conan_The-Adventure-of-the-Empty-House_1905,0.724273867,0.45301688
Doyle_Arthur-Conan_The-Adventure-of-the-Engineers-Thumb_1891,0.398637828,0.46111107
Doyle_Arthur-Conan_The-Adventure-of-the-Golden-Prince-Nez_1905,0.724273867,0.47654122
Doyle_Arthur-Conan_The-Adventure-of-the-Missing-Three-Quarter_1905,0.724273867,0.49541128
Doyle_Arthur-Conan_The-Adventure-of-the-Noble-Bachelor_1891,0.398637828,0.5109248
Doyle_Arthur-Conan_The-Adventure-of-the-Norwood-Builder_1905,0.724273867,0.47456956
Doyle_Arthur-Conan_The-Adventure-of-the-Priory-School_1905,0.724273867,0.513186
Doyle_Arthur-Conan_The-Adventure-of-the-Second-Stain_1905,0.724273867,0.46659836
Doyle_Arthur-Conan_The-Adventure-of-the-Six-Napoleons_1905,0.724273867,0.43340808
Doyle_Arthur-Conan_The-Adventure-of-the-Speckled-Band_1891,0.398637828,0.46456322
Doyle_Arthur-Conan_The-Adventure-of-the-Three-Students_1905,0.724273867,0.44169274
Doyle_Arthur-Conan_The-Boscombe-Valley-Mystery_1891,0.398637828,0.5660742
Doyle_Arthur-Conan_The-Five-Orange-Pips_1891,0.398637828,0.45773965
Doyle_Arthur-Conan_The-Hound-of-the-Baskervilles_1901,0.881283437,0.58577824
Doyle_Arthur-Conan_The-Lost-World_1912,0.468554769,0.4922996
Doyle_Arthur-Conan_The-Man-with-the-Twisted-Lip_1891,0.398637828,0.50233954
Doyle_Arthur-Conan_The-Red-Headed-League_1891,0.398637828,0.46867973
Doyle_Arthur-Conan_The-Sign-of-the-Four_1890,0.295802894,0.6246785
Doyle_Arthur-Conan_The-White-Company_1891,0.295802894,0.52362555
Galbraith_Lettice_A-Ghosts-Revenge_1893,0.140018459,0.48610824
Galbraith_Lettice_In-the-Seance-Room_1893,0.140018459,0.4861922
Galbraith_Lettice_The-Blue-Room_1893,0.140018459,0.43970183
Galbraith_Lettice_The-Case-of-Lady-Lukestan_1893,0.140018459,0.48432142
Galbraith_Lettice_The-Ghost-in-the-Chair_1893,0.140018459,0.5075894
Galbraith_Lettice_The-Missing-Model_1893,0.140018459,0.4344363
Galbraith_Lettice_The-Trainers-Ghost_1893,0.140018459,0.5616109
Grand_Sarah_The-Beth-Book_1897,0.140018459,0.50461715
Grand_Sarah_The-Heavenly-Twins_1893,0.118091093,0.54530054
Hazlitt_William_Liber-Amoris_1823,0.577872237,0.4159863
Jacob_Violet_The-Sheep-Stealers_1902,0.140018459,0.48635292
Johnson_Samuel_Rasselas_1759,0.925370323,0.43112826
Lee_Vernon_Hauntings_1890,0.140018459,0.49778
Lee_Vernon_Prince-Alberic-and-the-Snake-Lady_1895,0.140018459,0.5212208
Morier_James_Hajji-Baba_1824,0.464865512,0.45564353
Russell_William_Recollections-of-a-Detective-Police-Officer_1856,0.140018459,0.48692977
Sewell_Anna_Black-Beauty_1877,0.590736248,0.43461782
Somerville-Ross_Edith-Martin_An-Irish-Cousin_1889,0.140018459,0.43991983
Somerville-Ross_Edith-Martin_Experience-of-an-Irish-RM_1889,0.140018459,0.4129984
Somerville-Ross_Edith-Martin_The-Real-Charlotte_1894,0.140018459,0.4441085
Stephens_James_The-Charwomans-Daughter_1912,0.140018459,0.4416064
Stephens_James_The-Crock-of-Gold_1912,0.140018459,0.5202613
Wilde_Oscar_The-Picture-of-Dorian-Gray_1890,0.854756947,0.50468266
Austen_Jane_Emma_1815,0.934401732,0.52135736
Austen_Jane_Love-and-Freindship_1790,0.616047334,0.49594462
Austen_Jane_Mansfield-Park_1814,0.881283437,0.52135736
Austen_Jane_Northanger-Abbey_1818,0.616047334,0.49594462
Austen_Jane_Persuasion_1817,0.923973219,0.5052674
Austen_Jane_Pride-and-Prejudice_1813,0.877385847,0.52135736
Austen_Jane_Sense-and-Sensibility_1811,0.805649005,0.52135736
Baldwin_Louisa_How-he-left-the-Hotel_1894,0.140018459,0.5221552
Baldwin_Louisa_Many-Waters-Cannot-Quench-Love_1894,0.140018459,0.5221552
Baldwin_Louisa_My-Next-Door-Neighour_1894,0.140018459,0.49594462
Baldwin_Louisa_Sir-Nigel-Otterburnes-Case_1894,0.140018459,0.49594462
Baldwin_Louisa_The-Empty-Picture-Frame_1894,0.140018459,0.49594462
Baldwin_Louisa_The-Real-and-the-Counterfeit_1894,0.140018459,0.49594462
Baldwin_Louisa_The-Shadow-on-the-Blind_1894,0.140018459,0.49594462
Baldwin_Louisa_The-Ticking-of-the-Clock_1894,0.140018459,0.49594462
Baldwin_Louisa_The-Uncanny-Bairn_1894,0.140018459,0.49594462
Baldwin_Louisa_The-Weird-of-the-Walfords_1894,0.140018459,0.49594462
Bronte_Emily_Wuthering-Heights_1847,0.734998447,0.49594462
Carlyle_Thomas_Sartor-Resartus_1834,0.841634908,0.4946707
Goldsmith_Oliver_The-Vicar-of-Wakefield_1766,0.716877524,0.49594462
Joyce_James_A-Little-Cloud_1914,0.754826396,0.49594462
Joyce_James_A-Mother_1914,0.754826396,0.49594462
Joyce_James_A-Painful-Case_1914,0.716877524,0.5221552
Joyce_James_After-the-Race_1914,0.754826396,0.5221552
Joyce_James_An-Encounter_1914,0.754826396,0.5221552
Joyce_James_Araby_1914,0.754826396,0.5221552
Joyce_James_Clay_1914,0.754826396,0.49594462
Joyce_James_Counterparts_1914,0.754826396,0.49594462
Joyce_James_Eveline_1914,0.754826396,0.5003598
Joyce_James_Grace_1914,0.754826396,0.49594462
Joyce_James_Ivy-Day-in-the-Committee-Room_1914,0.754826396,0.49594462
Joyce_James_The-Boarding-House_1914,0.754826396,0.5221552
Joyce_James_The-Dead_1914,0.754826396,0.49594462
Joyce_James_The-Sisters_1914,0.754826396,0.5221552
Joyce_James_Two-Gallants_1914,0.754826396,0.49594462
Maclaren_Ian_A-Doctor-of-the-Old-School_1894,0.140018459,0.49594462
Maclaren_Ian_A-Highland-Mystic_1894,0.140018459,0.49594462
Maclaren_Ian_A-Wise-Woman_1894,0.140018459,0.49594462
