lang,model,features,drop_columns_including,dimensionality_reduction,model_param,mean_train_mse,mean_train_rmse,mean_train_mae,mean_train_r2,mean_train_corr,mean_validation_mse,mean_validation_rmse,mean_validation_mae,mean_validation_r2,mean_validation_corr,mean_p_value
eng,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,7.293285678364791e-05,0.00629478463927718,0.004911733104220235,0.9199606232192619,0.9742836026544346,0.0009968175068151433,0.03118690423455024,0.023683990939863966,-0.20295172460602515,0.1333386237955116,0.22641849265761524
eng,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,0.0004704256619302704,0.020975220338955203,0.015958709359913982,0.49891001216180325,0.8093853134455193,0.0009985178223171627,0.03078983064774571,0.02356494542814536,-0.22725538714087254,-0.0023479039520908768,0.0073543655856363604
eng,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,8.271611713117305e-05,0.006595638891278677,0.005056936749316832,0.907189222835034,0.9701271036795125,0.001025780857178366,0.03113937586060548,0.02402826427474599,-0.2246252918914055,0.09052823054091448,0.3162932091714272
eng,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,3.365929571377567e-05,0.0034344019719808453,0.002509614137380897,0.9605137981273904,0.9859368352333784,0.001020270475434357,0.030567498998022052,0.023517885480047688,-0.21492095131529135,0.10218685695896738,0.12532041041313366
eng,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,8.319426897833024e-05,0.006125950884657778,0.004627419960629359,0.9110221060772,0.970457487615571,0.0009703917368904479,0.03050772203326154,0.023566791283291425,-0.18261798984850294,0.15469732275357218,0.05711898887871423
eng,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,0.0004202104083873439,0.019639412407570906,0.014979913490701938,0.5438018986212878,0.8266858479368817,0.0009560587984011985,0.02943904585201419,0.022973238504988374,-0.08148178594522869,0.06286778967158761,0.35187129781415966
eng,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,2.1221347762966318e-05,0.0022768631700876983,0.001777177751721477,0.9770707719950849,0.992419842141388,0.0011221101940269694,0.03219928453382541,0.024675140691012627,-0.4241201229033541,0.011820542814218701,0.06403469863691129
eng,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,2.115259416415609e-05,0.0025190979112997983,0.0017960952822653764,0.9762129033672411,0.9909343481422358,0.001027338118709859,0.03125895441085977,0.024226532700677306,-0.25805884687056,0.12042893932056556,0.13394717321372895
eng,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,7.436434435001797e-06,0.0019619399346090917,0.0013752369129779144,0.9921206399384447,0.9977598269244037,0.0011105547573153547,0.03232895977176111,0.02442694378618871,-0.3489838250068749,-0.01413123527366265,0.0673230750469437
eng,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,0.00038355506844145096,0.018722151898945875,0.014348542082531463,0.5818476663379128,0.8513098003811475,0.000995958784978155,0.030613106845819322,0.02343195019959122,-0.11200780990316934,0.0032151679906716273,0.37403829846470227
eng,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,1.712237531496528e-06,0.0010382003249022461,0.0006871736545838029,0.9981808001468128,0.9996611206743689,0.001230426458282208,0.03410605012303757,0.02608654532491537,-0.5098196018970291,-0.11981499828686018,0.19368043222078232
eng,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,6.181585834698254e-05,0.005528896767658718,0.004007198422935684,0.9355230745862958,0.9749300826112097,0.0011455377026271083,0.0331869188990071,0.025310663019448853,-0.37534801813935326,0.002390687148005436,0.6028123354424826
eng,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,0.00022561058895971303,0.012348392347269517,0.009014689953695481,0.7442514332747412,0.8871869870387645,0.001262312938816615,0.034798015278835054,0.026205062476321837,-0.5937530261923996,-0.03933251874826973,0.21522206340923566
eng,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,0.0005936345982097068,0.024208678757670646,0.018254717773783496,0.35478099599439816,0.7330385425933885,0.0009804841305780744,0.031012820300257725,0.023182551360261858,-0.15954793046630453,0.034608695526679216,0.6136331088724906
eng,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,7.987578840727832e-05,0.0052586710265160415,0.0038654491857854634,0.9119672932946148,0.9708575705343373,0.001125837222038109,0.032865418009032324,0.025405514066798085,-0.28207152608228414,-0.0514594504439612,0.19234371290008356
eng,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,4.380868988211426e-05,0.003679356362537187,0.00273937127401685,0.9524267185632672,0.981548909551524,0.0012645363754683974,0.03493121583235167,0.02651203464013374,-0.588624161899429,-0.03883951820064825,0.29998885664252256
