file_name,y,yhat
Saar_Ferdinand_Der-Steinklopfer_1874,1.0,0.0
Saar_Ferdinand_Die-Familie-Worel_1906,0.0,0.0
Saar_Ferdinand_Die-Geigerin_1875,1.0,0.0
Saar_Ferdinand_Die-Pfruendner_1906,0.0,0.0
Saar_Ferdinand_Die-Troglodytin_1889,0.0,0.0
Saar_Ferdinand_Geschichten-eines-Wienerkindes_1891,0.0,0.0
Saar_Ferdinand_Herr-Fridolin-und-sein-Glueck_1897,0.0,0.0
Saar_Ferdinand_Hymen_1908,0.0,0.0
Saar_Ferdinand_Innocens_1865,1.0,0.0
Saar_Ferdinand_Leutnant-Burda_1887,1.0,0.0
Saar_Ferdinand_Ninon_1892,0.0,0.0
Saar_Ferdinand_Requiem-der-Liebe_1897,0.0,0.0
Saar_Ferdinand_Sappho_1906,0.0,0.0
Saar_Ferdinand_Schloss-Kostenitz_1892,1.0,0.0
Saar_Ferdinand_Tambi_1882,0.0,0.0
Saar_Ferdinand_Vae-victis_1883,1.0,0.0
Sacher-Masoch_Leopold_Don-Juan-von-Kolomea_1866,0.0,0.0
Sacher-Masoch_Leopold_Lola_1907,0.0,0.0
Sacher-Masoch_Leopold_Moses-Goldfarb-und-sein-Haus_1878,0.0,0.0
Sacher-Masoch_Leopold_Venus-im-Pelz_1869,0.0,0.0
Schloegl_Friedrich_Wiener-Blut_1873,0.0,1.0
Suttner_Bertha-von_Die-Waffen-nieder_1889,1.0,1.0
Viebig_Clara_Das-Weiberdorf_1900,1.0,1.0
Vulpius_Christian-August_Rinaldo-Rinaldini_1799,0.0,1.0
Wienbarg_Ludolph_Aesthetische-Feldzuege_1834,1.0,1.0
Anzengruber_Ludwig_Der-Sternsteinhof_1885,1.0,1.0
Bahr_Hermann_Die-gute-Schule_1890,1.0,0.0
Beer-Hofmann_Richard_Der-Tod-Georgs_1900,0.0,0.0
Braeker_Ulrich_Lebensgeschichte_1789,1.0,1.0
Conrad_Michael-Georg_Die-Beichte-der-Narren_1893,0.0,0.0
Conrad_Michael-Georg_Die-klugen-Jungfrauen_1889,0.0,1.0
Conrad_Michael-Georg_Was-die-Isar-rauscht_1887,1.0,1.0
Conradi_Hermann_Adam-Mensch_1889,0.0,1.0
Dronke_Ernst_Polizeigeschichten_1846,1.0,0.0
Duncker_Dora_Marquise-von-Pompadur_1913,0.0,1.0
Ebner-Eschenbach_Marie_Bozena_1876,0.0,1.0
Ebner-Eschenbach_Marie_Das-Gemeindekind_1887,1.0,1.0
Ebner-Eschenbach_Marie_Das-Schaedliche_1894,0.0,0.0
Ebner-Eschenbach_Marie_Der-Kreisphysikus_1883,1.0,0.0
Ebner-Eschenbach_Marie_Der-Muff_1896,0.0,0.0
Ebner-Eschenbach_Marie_Die-Freiherren-von-Gemperlein_1889,0.0,0.0
Ebner-Eschenbach_Marie_Die-Poesie-des-Unbewussten_1883,1.0,0.0
Ebner-Eschenbach_Marie_Die-Resel_1883,1.0,0.0
Ebner-Eschenbach_Marie_Ein-kleiner-Roman_1887,1.0,0.0
Ebner-Eschenbach_Marie_Krambabuli_1883,1.0,0.0
Ebner-Eschenbach_Marie_Lotti-die-Uhrmacherin_1874,1.0,0.0
Ebner-Eschenbach_Marie_Rittmeister-Brand_1896,1.0,1.0
Ebner-Eschenbach_Marie_Unsuehnbar_1890,1.0,1.0
Eichhorn_Marie_Dolorosa_1904,0.0,0.0
Einstein_Carl_Bebuquin_1912,0.0,0.0
Ertl_Emil_Auf-der-Wegwacht_1911,0.0,1.0
Ertl_Emil_Die-Leute-vom-blauen-Gucuckhaus_1906,0.0,1.0
Ertl_Emil_Freiheit-die-ich-meine_1909,0.0,1.0
Halm_Friedrich_Die-Marzipanlise_1856,0.0,0.0
Hippel_Theodor-Gottlieb_Kreuz-und-Querzuege-des-Ritters-A-bis-Z_1793,1.0,1.0
Hyan_Hans_1000-Mark-Belohnung_1913,0.0,0.0
Immermann_Karl_Die-Epigonen_1836,1.0,1.0
Immermann_Karl_Muenchhausen_1838,1.0,1.0
Kapff-Essenther_Franziska_Mitgiftjaeger_1898,0.0,0.0
Kretzer_Max_Meister-Timpe_1888,1.0,1.0
La-Roche_Sophie_Der-schwermuethige-Juengling_1786,0.0,0.0
La-Roche_Sophie_Die-glueckliche-Reise_1786,0.0,0.0
La-Roche_Sophie_Die-zwei-Schwestern_1786,0.0,0.0
La-Roche_Sophie_Ein-guter-Sohn_1786,0.0,0.0
La-Roche_Sophie_Liebe-Missverstaendnis-und-Freundschaft_1786,0.0,0.0
Laube_Heinrich_Anhalt_1834,0.0,0.0
Laube_Heinrich_Braunschweig_1834,0.0,0.0
Laube_Heinrich_Breslau_1834,0.0,0.0
Laube_Heinrich_Das-junge-Europa_1833,0.0,1.0
Laube_Heinrich_Halberstadt_1834,0.0,0.0
Laube_Heinrich_Magdeburg_1834,0.0,0.0
Lewald_Fanny_Jenny_1843,1.0,1.0
Meyer_Conrad-Ferdinand_Angela-Borgia_1891,1.0,0.0
Meyer_Conrad-Ferdinand_Das-Amulett_1873,1.0,0.0
Meyer_Conrad-Ferdinand_Der-Heilige_1880,1.0,0.0
Meyer_Conrad-Ferdinand_Der-Schuss-von-der-Kanzel_1878,0.0,0.0
Meyer_Conrad-Ferdinand_Die-Hochzeit-des-Moenchs_1884,1.0,0.0
Meyer_Conrad-Ferdinand_Die-Leiden-eines-Knaben_1883,1.0,0.0
Meyer_Conrad-Ferdinand_Die-Richterin_1885,0.0,0.0
Meyer_Conrad-Ferdinand_Die-Versuchung-des-Pescara_1887,1.0,0.0
Meyer_Conrad-Ferdinand_Gustav-Adolfs-Page_1882,1.0,0.0
Meyer_Conrad-Ferdinand_Juerg-Jenatsch_1876,1.0,1.0
Meyer_Conrad-Ferdinand_Plautus-im-Nonnenkloster_1881,1.0,0.0
Mueller-Guttenbrunn_Adam_Der-grosse-Schwabenzug_1913,0.0,1.0
Naubert_Christine_Hermann-von-Unna_1788,0.0,1.0
Paul_Jean_Auswahl-aus-des-Teufels-Papieren_1789,0.0,1.0
Paul_Jean_Der-Komet_1820,0.0,1.0
Paul_Jean_Die-unsichtbare-Loge_1793,0.0,1.0
Paul_Jean_Flegeljahre_1804,0.0,1.0
Paul_Jean_Hesperus_1795,0.0,1.0
Paul_Jean_Titan_1800,0.0,1.0
Reventlow_Franziska_Ellen-Olestjerne_1903,0.0,1.0
Reventlow_Franziska_Herrn-Dames-Aufzeichnungen_1912,0.0,0.0
Reventlow_Franziska_Von-Paul-zu-Pedro_1912,0.0,0.0
Schlegel_Dorothea_Florentin_1801,0.0,0.0
Schopenhauer_Johanna_Gabriele_1819,0.0,1.0
Sealsfield_Charles_Das-Cajuetenbuch_1841,0.0,1.0
