language	task_type	model	model_param	labels_string	features_string	dimensionality_reduction	drop_columns	mean_train_f1	mean_validation_f1
eng	multiclass	svc	10000.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.34323731016353926	0.32167809291067045
eng	multiclass	svc	10000.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.3818372279240646	0.3045054982484302
eng	multiclass	svc	10000.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.3804195482885349	0.305173438643648
eng	multiclass	svc	10000.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.381194685999521	0.3045054982484302
eng	multiclass	svc	10000.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.3810849916388863	0.3023739709604115
eng	multiclass	xgboost		multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.8324042755283017	0.34280375164879107
eng	multiclass	xgboost		multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.959320285339671	0.3903643747629587
eng	multiclass	xgboost		multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.8796120715078461	0.3459152509055652
eng	multiclass	xgboost		multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.8283069613783649	0.32897329955146676
eng	multiclass	xgboost		multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.78740687712987	0.36409032247758233
eng	multiclass	xgboost		multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.9115364509237843	0.3565180079445315
eng	multiclass	xgboost		multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.735161848958655	0.36446302086636695
eng	multiclass	xgboost		multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.859863791136751	0.3406363170875765
